推力,Unnamed: 1,电机1,电机2,电机3,电机4,陀螺仪：,方差1,方差2,方差3,主频1,主频2,主频3,加速度计：,方差1.1,方差2.1,方差3.1,主频1.1,主频2.1,主频3.1
0.052,,221.0,265.0,307.0,184.0,,8.6,9.0,6.3,50.0,60.0,83.0,,7.1,6.5,9.0,49.0,58.0,83.0
0.054,,205.0,266.0,326.0,199.0,,2.2,9.0,3.3,56.0,71.0,86.0,,1.8,9.0,8.2,56.0,69.0,86.0
0.056,,217.0,263.0,323.0,215.0,,0.9,3.0,0.4,59.0,70.0,85.0,,0.9,8.1,0.4,59.0,70.0,85.0
0.058,,233.0,274.0,319.0,211.0,,2.3,6.2,3.5,49.0,80.0,86.0,,2.0,9.0,3.7,49.0,80.0,86.0
0.06,,239.0,287.0,324.0,207.0,,5.5,9.0,0.8,56.0,79.0,84.0,,2.4,4.0,1.5,57.0,78.0,84.0
0.062,,271.0,321.0,291.0,193.0,,1.8,9.0,,58.0,81.0,,,1.1,9.0,,58.0,81.0,
0.064,,227.0,271.0,351.0,247.0,,2.4,9.0,,60.0,82.0,,,2.3,9.0,,60.0,81.0,
0.066,,257.0,283.0,334.0,244.0,,6.0,9.0,2.7,66.0,74.0,87.0,,7.2,7.6,3.1,66.0,74.0,87.0
0.068,,270.0,309.0,329.0,230.0,,1.7,9.0,,63.0,84.0,,,9.0,9.0,,62.0,84.0,
0.07,,260.0,307.0,348.0,243.0,,1.7,9.0,,64.0,85.0,,,1.7,9.0,,64.0,85.0,
0.072,,287.0,318.0,331.0,243.0,,1.5,3.3,2.3,66.0,76.0,87.0,,2.3,9.0,4.6,65.0,75.0,86.0
0.074,,292.0,318.0,334.0,255.0,,8.8,9.0,,67.0,88.0,,,9.0,9.0,,67.0,87.0,
0.076,,293.0,321.0,343.0,261.0,,1.9,9.0,,68.0,89.0,,,2.0,9.0,,68.0,87.0,
0.078,,299.0,330.0,350.0,259.0,,3.2,9.0,,70.0,90.0,,,9.0,9.0,,70.0,90.0,
0.08,,294.0,325.0,363.0,274.0,,9.0,3.3,1.4,74.0,84.0,93.0,,9.0,1.2,9.0,73.0,93.0,99.0
