推力,,电机1,电机2,电机3,电机4,陀螺仪：,方差1,方差2,方差3,,主频1,主频2,主频3,,加速度计：,方差1,方差2,方差3,,主频1,主频2,主频3,
0.05,,,,,,,,,,,,,,,,,,,,,,,
5.0999999999999997E-2,,,,,,,,,,,,,,,,,,,,,,,
5.1999999999999998E-2,,221,265,307,184,,8.6,9,6.3,,50,60,83,,,7.1,6.5,9,,49,58,83,
5.2999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
5.3999999999999999E-2,,205,266,326,199,,2.2000000000000002,9,3.3,,56,71,86,,,1.8,9,8.1999999999999993,,56,69,86,
5.5E-2,,,,,,,,,,,,,,,,,,,,,,,
5.6000000000000001E-2,,217,263,323,215,,0.9,3,0.4,,59,70,85,,,0.9,8.1,0.4,,59,70,85,
5.7000000000000002E-2,,,,,,,,,,,,,,,,,,,,,,,
5.8000000000000003E-2,,233,274,319,211,,2.2999999999999998,6.2,3.5,,49,80,86,,,2,9,3.7,,49,80,86,
5.8999999999999997E-2,,,,,,,,,,,,,,,,,,,,,,,
0.06,,239,287,324,207,,5.5,9,0.8,,56,79,84,,,2.4,4,1.5,,57,78,84,
6.0999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
6.2E-2,,271,321,291,193,,1.8,9,,,58,81,,,,1.1000000000000001,9,,,58,81,,
6.3E-2,,,,,,,,,,,,,,,,,,,,,,,
6.4000000000000001E-2,,227,271,351,247,,2.4,9,,,60,82,,,,2.2999999999999998,9,,,60,81,,
6.5000000000000002E-2,,,,,,,,,,,,,,,,,,,,,,,
6.6000000000000003E-2,,257,283,334,244,,6,9,2.7,,66,74,87,,,7.2,7.6,3.1,,66,74,87,
6.7000000000000004E-2,,,,,,,,,,,,,,,,,,,,,,,
6.8000000000000005E-2,,270,309,329,230,,1.7,9,,,63,84,,,,9,9,,,62,84,,
6.9000000000000006E-2,,,,,,,,,,,,,,,,,,,,,,,
7.0000000000000007E-2,,260,307,348,243,,1.7,9,,,64,85,,,,1.7,9,,,64,85,,
7.0999999999999994E-2,,,,,,,,,,,,,,,,,,,,,,,
7.1999999999999995E-2,,287,318,331,243,,1.5,3.3,2.2999999999999998,,66,76,87,,,2.2999999999999998,9,4.5999999999999996,,65,75,86,
7.2999999999999995E-2,,,,,,,,,,,,,,,,,,,,,,,
7.3999999999999996E-2,,292,318,334,255,,8.8000000000000007,9,,,67,88,,,,9,9,,,67,87,,
7.4999999999999997E-2,,,,,,,,,,,,,,,,,,,,,,,
7.5999999999999998E-2,,293,321,343,261,,1.9,9,,,68,89,,,,2,9,,,68,87,,
7.6999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
7.8E-2,,299,330,350,259,,3.2,9,,,70,90,,,,9,9,,,70,90,,
7.9000000000000001E-2,,,,,,,,,,,,,,,,,,,,,,,
0.08,,294,325,363,274,,9,3.3,1.4,,74,84,93,,,9,1.2,9,,73,93,99,
8.1000000000000003E-2,,,,,,,,,,,,,,,,,,,,,,,
8.2000000000000003E-2,,311,313,361,291,,9,3.2,7.7,,79,95,100,,,9,3.2,9,,88,95,100,
8.3000000000000004E-2,,,,,,,,,,,,,,,,,,,,,,,
8.4000000000000005E-2,,316,313,369,298,,2.4,3.1,3.5,,79,84,96,,,9,3.3,,,82,96,,
8.5000000000000006E-2,,,,,,,,,,,,,,,,,,,,,,,
8.5999999999999993E-2,,330,318,364,304,,9,1.9,3.1,,82,88,95,,,9,2.7,,,88,95,,
8.6999999999999994E-2,,,,,,,,,,,,,,,,,,,,,,,
8.7999999999999995E-2,,335,319,373,311,,2.6,2,1.6,,83,89,97,,,9,1.5,,,89,97,,
8.8999999999999996E-2,,,,,,,,,,,,,,,,,,,,,,,
0.09,,318,350,382,304,,9,0.4,1.1000000000000001,,81,90,97,,,1.5,1,,,91,97,,
9.0999999999999998E-2,,,,,,,,,,,,,,,,,,,,,,,
9.1999999999999998E-2,,337,335,386,317,,1.5,1.3,2,,84,89,100,,,1.6,1.3,2,,84,89,100,
9.2999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
9.4E-2,,345,337,388,324,,6,9,2,,86,91,100,,,9,3.4,3.4,,90,95,100,
9.5000000000000001E-2,,,,,,,,,,,,,,,,,,,,,,,
9.6000000000000002E-2,,351,343,390,330,,0.2,1.9,0.3,,87,91,101,,,9,2.2999999999999998,,,91,101,,
9.7000000000000003E-2,,,,,,,,,,,,,,,,,,,,,,,
9.8000000000000004E-2,,361,345,391,336,,9,1.5,2.2999999999999998,,89,94,101,,,9,2.2999999999999998,9,,90,95,101,
9.9000000000000005E-2,,,,,,,,,,,,,,,,,,,,,,,
0.1,,364,341,374,374,,1.1000000000000001,4.2,5,,94,103,109,,,2,2.4,1.1000000000000001,,94,101,104,
0.10100000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.10199999999999999,,365,355,404,349,,7.3,2.7,,,91,103,,,,9,1.9,,,92,103,,
0.10299999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.104,,375,360,404,353,,1.7,1,0.6,,91,96,103,,,2.2000000000000002,1.3,0.6,,91,96,103,
0.105,,,,,,,,,,,,,,,,,,,,,,,
0.106,,379,362,409,362,,3,2.2000000000000002,2,,92,97,103,,,4.0999999999999996,3.5,2,,92,97,103,
0.107,,,,,,,,,,,,,,,,,,,,,,,
0.108,,376,367,425,363,,5,1.4,,,94,107,,,,7.8,0.9,1.4,,94,102,107,
0.109,,,,,,,,,,,,,,,,,,,,,,,
0.11,,391,365,396,398,,6,4.4000000000000004,,,101,108,,,,9,3,,,101,108,,
0.111,,,,,,,,,,,,,,,,,,,,,,,
0.112,,391,379,413,386,,5.3,3.1,,,99,104,,,,3.8,4.2,,,99,104,,
0.113,,,,,,,,,,,,,,,,,,,,,,,
0.114,,399,385,415,389,,3.5,0.8,,,99,105,,,,1.8,0.3,0.6,,99,102,105,
0.115,,,,,,,,,,,,,,,,,,,,,,,
0.11600000000000001,,402,385,422,399,,4.8,1.1000000000000001,,,101,107,,,,5.8,1.3,,,101,107,,
0.11700000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.11799999999999999,,405,393,427,402,,5.3,3.5,,,102,108,,,,5.6,3.2,,,102,108,,
0.11899999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.12,,417,394,419,416,,5.6,,,,110,,,,,5.0999999999999996,,,,110,,,
0.121,,,,,,,,,,,,,,,,,,,,,,,
0.122,,416,401,435,412,,5.2,4.7,,,104,109,,,,5,4.5,,,104,109,,
0.123,,,,,,,,,,,,,,,,,,,,,,,
0.124,,421,399,442,422,,8.6999999999999993,5.4,1.7,,101,106,110,,,9,5.9,3.5,,101,106,110,
0.125,,,,,,,,,,,,,,,,,,,,,,,
0.126,,423,405,448,427,,8.6999999999999993,9,,,102,108,,,,9,9,,,102,108,,
0.127,,,,,,,,,,,,,,,,,,,,,,,
0.128,,426,415,452,429,,9,,,,108,,,,,9,0.3,,,107,110,,
0.129,,,,,,,,,,,,,,,,,,,,,,,
0.13,,439,412,442,447,,3.4,1.5,,,103,111,,,,3.8,,,,104,,,
